评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6560919862,我是真的小董呀,女,其他,6,28,1,从评论里过来关注东方今报，很棒,0,2020-08-26 18:07 
https://weibo.cn//u/2945561280,北伦敦猴子,男,北京,1231,667,288,回复@包包脸Grace:可以把感觉去掉了,0,2020-08-26 18:06 
https://weibo.cn//u/6520788112,美股charttrader,男,海外,842,56,133,大家都太单纯了。要刑拘难道不该猥亵男入院的时候就刑拘吗？为啥拖了两个月？刑拘的真正原因是因为没赔20万。所以这20万有谁分钱不是一目了然的吗？！,2,2020-08-26 18:05 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@微笑姚小乐:按你这说法，就是故意不是过失了,0,2020-08-26 18:03 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@微笑姚小乐:视频里挽着胳膊呢好吗,0,2020-08-26 18:00 
https://weibo.cn//u/1988287085,北看台的一个人,男,河南,1597,636,367,东方今报这次做的很棒,0,2020-08-26 17:55 
https://weibo.cn//zrqllhm,员村大孖,男,广东,9435,274,712,冷水灘分局处理此案的民警某没有被调查？有没有存在与雷某存在不正当关系或金钱利益，处理民警有没有为此付出应有的责任？,0,2020-08-26 17:48 
https://weibo.cn//u/6520788112,美股charttrader,男,海外,842,56,133,没人关注“行政拘留”吗？,0,2020-08-26 17:45 
https://weibo.cn//u/7461017888,南猴今天又杀女人了么,男,北京,114,705,23,幸好中国还有你们，才没有让人彻底绝望。,0,2020-08-26 17:45 
https://weibo.cn//u/6004137086,世界很大想去看看,女,北京,1032,66,90,猥亵的流氓当时都没处罚赔三百块钱，后来才有拘留15天，还双方和解，今后互不追究，事后又说骨折，然后就对男孩处理迅速,0,2020-08-26 17:44 
https://weibo.cn//u/5877303162,甜宠于你,男,福建,4,82,9,应该查查这些办案人员是否与变态有某种特殊的关系,0,2020-08-26 17:44 
https://weibo.cn//u/1772357893,微笑姚小乐,女,江苏,590,377,140,回复@不用审了:你从哪里看出来人家是男女朋友了？？遇到这种死变态，不应该人人遇而诛之么,5,2020-08-26 17:41 
https://weibo.cn//u/2039259323,waynezc,男,湖北,1394,176,198,如果解除了就说明之前执法不公，是不是要进行处分？不然法制如何保障,3,2020-08-26 17:41 
https://weibo.cn//u/6330182689,洛羽俟,男,河北,25,122,32,唐慧案就是一个典型的教训,0,2020-08-26 17:40 
https://weibo.cn//u/1988466563,在线的神,男,江苏,5845,321,226,新鲜骨折？,0,2020-08-26 17:39 
https://weibo.cn//u/7451244945,x的onoY,女,其他,1650,154,57,如果没曝光就不了了之了吧。,7,2020-08-26 17:37 
https://weibo.cn//u/1115527307,月饼神教教皇,男,河北,3973,203,600,歪嘴和尚是傻是坏？//,0,2020-08-26 17:33 
