评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3187478110,请随意抹布我本命但要记得艾特我,女,海外,4544,435,360,回复@莫失聪聪:还有就是刚注意到的时间线问题，当天猥亵男走进警局签署免责协议，几天后检测粉碎性骨折？或许这位少年骨骼清奇，是化骨绵掌的第六十七代传人吧！我还是那句话，不要做没有人性的法律机器，不要站在事后理性人的角度看问题还洋洋得意认为别人都不懂法，做个人吧？行吗？,0,2020-08-26 11:39 
https://weibo.cn//u/3187478110,请随意抹布我本命但要记得艾特我,女,海外,4544,435,360,回复@莫失聪聪:Hello？你是不是不识字啊？一，他二人不是男女朋友关系；二，就算是男女朋友关系，从情理上拦截猥亵男也是合理的，且男同学没有主观上想要伤害猥亵男。至于责任，男同学家里已经付了猥亵男的住院费，你的意思是把二十万也打给猥亵男呗？,0,2020-08-26 11:37 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@君君lilac:浙大那个最后认定强奸中止，那么判也没问题。这个案子，目前只是诉讼阶段，致人轻伤触犯刑法了，所以被刑拘也是合理的，犯不犯罪其实警察说了不算，所以才说涉嫌，刑拘只是刑事案件审理过程的一个环节，最后看法院如何审理。所以别被带节奏了,0,2020-08-26 11:30 
https://weibo.cn//zhimingzou,AfricanCats,男,重庆,571,280,320,回复@狗狗与周周:此乃微博办案。上头高度重视了，那么结果就是:猥亵者行政拘留15日（已经执行），女孩男友无罪释放，但是有过失所以赔偿部分医药费（赔偿部分甚至政府部门关怀一下）,0,2020-08-26 11:26 
https://weibo.cn//u/6591841849,迷迷茫茫的小鹿,女,其他,114,289,25,回复@东方今报:男生好像今年高考，是否受到影响，怎么赔偿别人,0,2020-08-26 11:26 
https://weibo.cn//u/6597348399,九隅斌客,女,北京,94,369,65,回复@唯冷独嗳月倾心2:行为本身适用于扭送，但扭送扭出粉碎性骨折的仅此一家,0,2020-08-26 11:24 
https://weibo.cn//u/5281425201,一两五仁月饼,男,广东,39,159,140,回复@茉莉花味香胰子:你在微博里@ 罗老师来普法，人家普法视频出了你又不看，完了还说别人不懂法。对你这种人我是当真服气的。,0,2020-08-26 11:06 
https://weibo.cn//u/3477651072,莫失聪聪,男,四川,577,214,164,回复@请随意抹布我本命但要记得艾特我:警方把他拘留是量刑过重。所以要重新调查，是不是属于见义勇为和防卫过当。但最终需要他自己承担的责任还是要承担的。,0,2020-08-26 11:03 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@一两五仁月饼:警察是暴力机关，哥们，刑诉法给他们权利了!再说，缉毒警察可以滥杀无辜么,0,2020-08-26 11:00 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@一两五仁月饼:轻伤构成犯罪了，为什不能刑拘?,0,2020-08-26 11:00 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@一两五仁月饼:警察是暴力机关，哥们，刑诉法给他们权利了!再说，缉毒警察可以滥杀无辜么,0,2020-08-26 11:00 
https://weibo.cn//u/3477651072,莫失聪聪,男,四川,577,214,164,回复@请随意抹布我本命但要记得艾特我:此外你说的见义勇为，也不属于，他们俩在商场手挽手，是男女朋友吗？如果是男女朋友，他们俩就有利害关系，就不属于见义勇为。见义勇为的定义，要双方没有利害关系。当然你也可以说他们俩手挽手不算是男女朋友。不承认是男女朋友。,0,2020-08-26 10:59 
https://weibo.cn//u/5281425201,一两五仁月饼,男,广东,39,159,140,回复@茉莉花味香胰子:那你得把所有缉毒警全刑拘起来,0,2020-08-26 10:58 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@一两五仁月饼:轻伤构成犯罪了，为什不能刑拘?,0,2020-08-26 10:57 
https://weibo.cn//u/5281425201,一两五仁月饼,男,广东,39,159,140,回复@茉莉花味香胰子:你不还找罗老师普法了么？咋了没普到你头上？,0,2020-08-26 10:57 
https://weibo.cn//lussya,凌云彩虹,女,北京,1128,482,888,回复@东方今报:这是被媒体报道上热搜了，但凡没有上热搜，这孩子的一生 这一家就被毁了,5,2020-08-26 10:56 
https://weibo.cn//u/5464733950,岩谷酱,女,辽宁,208,216,237,回复@岩谷酱:谁知道当时到底发生了什么,0,2020-08-26 10:56 
https://weibo.cn//u/5464733950,岩谷酱,女,辽宁,208,216,237,请问监控去哪里了,0,2020-08-26 10:56 
https://weibo.cn//u/2891558560,陆之昂,女,其他,3188,446,772,回复@用户·89757:@Kko_o5 希望这些公安和猥琐男家的女人都被猥亵,0,2020-08-26 10:55 
https://weibo.cn//u/5281425201,一两五仁月饼,男,广东,39,159,140,回复@茉莉花味香胰子:《刑事诉讼法》第八十二条规定，对于有下列情形的人，任何公民都可以立即扭送公安机关、人民检察院或者人民法院处理： （一）正在实行犯罪或者在犯罪后即时被发觉的； （二）通缉在案的； （三）越狱逃跑的； （四）正在被追捕的。 你觉得呢？单纯因为对方验出轻伤就刑拘是合法的吗？,0,2020-08-26 10:54 
https://weibo.cn//u/5281425201,一两五仁月饼,男,广东,39,159,140,回复@shitizen的胜利:是啊，普法任重道远。《刑事诉讼法》第八十二条规定，对于有下列情形的人，任何公民都可以立即扭送公安机关、人民检察院或者人民法院处理： （一）正在实行犯罪或者在犯罪后即时被发觉的； （二）通缉在案的； （三）越狱逃跑的； （四）正在被追捕的。,0,2020-08-26 10:53 
https://weibo.cn//u/6377685633,蜂蜜水咕噜噜噜噜,男,海外,736,344,194,回复@东方今报:哈 总算有个好结果,1,2020-08-26 10:49 
https://weibo.cn//dfjb,东方今报,女,河南,76756,1106,7477604,【最新消息｜踹伤猥亵男男生被解除刑拘，父亲：26日凌晨到家今天吃团圆饭】,17,2020-08-26 10:47 
https://weibo.cn//u/2043320915,A夜月追风A,男,山东,212,203,55,回复@明月吹清风:刚看了看说是五天后来说骨折要20w？分局帮着敲竹杠都不会，搞个民事赔偿它不香吗？非得搞个故意伤人刑事责任。这下好了，笑死全网都知道了，说不定连分局都得出事，希望人有事,0,2020-08-26 10:46 
https://weibo.cn//u/5363744735,枕寒想不粗昵称,女,浙江,68,421,61,这是哪一个小机灵鬼判的案啊，太聪明了🙂🙂🙂这是生怕我们不知道他是个没脑子的是吗,0,2020-08-26 10:44 
https://weibo.cn//u/2837273904,JIYEON2____暮落,女,浙江,1086,191,140,警匪一家,0,2020-08-26 10:29 
https://weibo.cn//u/3890206618,明月吹清风,女,北京,31,101,1815,回复@A夜月追风A:哎,0,2020-08-26 10:21 
https://weibo.cn//u/6008582126,Willing1乐园,男,上海,474,256,80,回复@Jiangpy爸爸:拜托你去看看罗翔普法里面对这件事的看法。让你从法律的层面看看这件事，你的看法很可笑,0,2020-08-26 10:14 
https://weibo.cn//u/5196550471,长安real,女,广东,711,238,36,回复@空明巷的光:哈哈哈哈哈哈没有最好，但是放在我们国家估计没那么好过吧,0,2020-08-26 10:11 
https://weibo.cn//u/6008582126,Willing1乐园,男,上海,474,256,80,请去看看罗翔的普法，这个是扭送行为，完全可以不用赔偿，而且是公民们普遍认可的行为，法律本来就是为了公民的利益设立的，却被判成这样，不是恶心人嘛，这群警察可以集体辞职！,0,2020-08-26 10:11 
